score,name,time
9096,NR1,2025/03/23 14:51:59
8071,131,2025/03/25 21:34:38
4588,LYN,2025/03/23 14:02:48
4359,EV4,2025/03/23 15:14:17
3777,DAM,2025/03/23 14:39:16
3448,HEN,2025/03/23 13:54:52
2785,GAB,2025/03/23 13:37:34
2490,HYP,2025/03/23 14:07:37
2448,313,2025/03/23 11:43:58
2436,131,2025/03/23 15:08:56
2408,BGH,2025/03/23 13:30:14
2244,YOW,2025/03/23 14:25:02
1668,DEV,2025/03/23 10:10:20
1532,MDW,2025/03/23 14:23:18
1449,SAD,2025/03/23 15:18:23
1351,AMB,2025/03/23 14:13:15
1143,SHO,2025/03/23 15:00:21
888,JIM,2025/03/23 13:11:57
855,NIT,2025/03/23 14:15:24
822,WEE,2025/03/23 13:20:21
766,COR,2025/03/23 13:41:34
689,VIK,2025/03/23 14:16:07
689,KIM,2025/03/23 14:39:27
565,NTN,2025/03/23 13:30:00
553,JOR,2025/03/23 13:37:28
489,YOW,2025/03/23 14:20:52
484,MIK,2025/03/23 14:58:04
469,RIA,2025/03/23 13:34:16
413,KAM,2025/03/23 13:57:39
355,YEG,2025/03/23 10:37:53
354,HAH,2025/03/23 14:00:45
350,NEM,2025/03/23 14:33:31
309,DAN,2025/03/23 13:25:34
307,REX,2025/03/23 13:18:51
289,DWQ,2025/03/23 10:53:07
288,SHO,2025/03/23 14:55:23
254,E2E,2025/03/23 11:20:02
207,BRM,2025/03/23 14:51:20
182,JJJ,2025/03/23 13:44:28
138,PPP,2025/03/23 13:41:56
135,MAN,2025/03/23 14:29:14
115,DAN,2025/03/23 14:05:49
106,BGH,2025/03/23 13:25:24
78,BRM,2025/03/23 14:47:30
66,JJJ,2025/03/23 14:30:29
59,ARV,2025/03/23 14:25:38
32,REX,2025/03/23 13:16:20
26,WRM,2025/03/23 13:09:55
0,NIK,2025/03/23 14:07:29
0,XXX,2025/03/23 11:58:11
0,000,2025/03/23 13:38:38
0,HFG,2025/03/23 13:37:50
